,Full Modality Val,Mixed M Val 5%,Mixed M Val 15%,Mixed M Val 30%
TITAN (ours),0.836709 ± 0.080510,0.827361 ± 0.084263,0.758894 ± 0.049295,0.748844 ± 0.083925
CHIEF,0.810998 ± 0.055505,0.757033 ± 0.070899,0.769113 ± 0.061890,0.741022 ± 0.079482
Prism,0.809599 ± 0.054817,0.771409 ± 0.065041,0.776581 ± 0.053892,0.740550 ± 0.073361
Conch1.5v,0.724280 ± 0.034424,0.640524 ± 0.031084,0.640524 ± 0.031084,0.635325 ± 0.038283
Resnet50,0.744944 ± 0.044919,0.682464 ± 0.032563,0.643890 ± 0.016587,0.622734 ± 0.025974
